ID Item;REF;DESCRPCION;Unidad
5124;DBV-BL400 DIXON                                   ;"ABRAZADERA ALUM 4"" GxG DBV-BL400 DIXON";UND 
146;24797-018 -72H BTI (48-127mm)                     ;ABRAZADERA CREMALL.INOX 20-72(103-127mm);UND 
5057;A208 BTI                                          ;EMPAQUE ASIENTO FLUIDIZADOR A-208 BTI;UND 
2903;20503                                             ;"TE ALUM.4"" BT490AL BETTS.";UND 
142;24624                                             ;ABRAZADERA CREMALL.INOX.2A#24(27-51mm).;UND 
178;24534                                             ;"ACOPLE OPW 2""NPT INOX.316 PARTE-F.";UND 
3575;24797-002                                         ;"VALV.MARIPOSA+EXT.4"" 4-795-531-MA36 BTI.";UND 
1488;2064                                              ;HOJA No.3 RESORTE BALLESTA 02600461.;UND 
13350;0013350                                           ;"ABRAZADERA ENCAUCHETADA P/TUBO 2""Ø(2_5/8";UND 
2686;20031                                             ;"SENSOR 2CABLE 18"" 1351-0018 HEIL-CIVACON";UND 
147;5694                                              ;ABRAZADERA MANHOLE INOX.304 3036SL BETTS;UND 
1905;13063                                             ;MEDIACHUMACERA.INF.TRUNNION EK-6300700.;UND 
12752;AH 6411-E ZN                                      ;ABRAZADERA P/PUERTA ZINCADA AH 6411-E ZN;UND 
151;25680                                             ;"ABRAZADERA PARA EXHOSTO 3_1/2"".";UND 
152;EK-1102600                                        ;ABRAZADERA SUPERIOR EJE EK-1102600.;UND 
5549;22210 E1.C3                                       ;RODAM.2HIL-ROD. A ROTULA 22210 E1.C3;UND 
153;3106                                              ;ABRAZADERA T/INDUSTRIAL T-507 48-52mm.;UND 
156;3107                                              ;ABRAZADERA T/INDUSTRIAL T-510 62-67mm.;UND 
262;13740                                             ;"ADAPT.VAPOR 4"" EC-303-444-04 EBW.";UND 
2710;21801-001                                         ;SIST.CARPADO RNKB236/R01802 9ARCOS MOUNT;UND 
158;13074                                             ;ABRAZADERA T/INDUSTRIAL T-515 90-96mm.;UND 
523;15004                                             ;BOLSA AIRE S-21784 HENDRICKSON (1T19FC6);UND 
2621;7917                                              ;RETENEDOR BUJE COLLARIN EJE 38x48x7mm.;UND 
159;13929                                             ;ABRAZADERA T/INDUSTRIAL T-516 96-102mm;UND 
2852;24966-007                                         ;"TAPA ADAPT.ALUM.6"" DC600AL BTI.";UND 
160;18908                                             ;ABRAZADERA T/INDUSTRIAL T-517 102-108mm;UND 
3673;21474-009                                         ;"LAMPARA LED 24V 44265C BLANCA 4"".";UND 
1347;15916                                             ;ESQUINERO FALDON TANQUES.;UND 
161;2512                                              ;ABRAZADERA T/INDUSTRIAL T-521 128-136mm.;UND 
162;21907                                             ;"ABRAZADERA TUBO 1"" LAM.CAL-18 2-AGUJ.";UND 
11212;0011212                                           ;ACEITE HIDR.CLASE ISO VG-32=DTE24.;GAL 
11175;UM38-PH40 10mm XHNOTION                           ;ACOPLE FITTING UM38-PH40 10mm;UND 
